iter	MultiClass
126	0.794421643
127	0.7942764715
128	0.7940455268
129	0.7937760055
130	0.7936377342
131	0.7935139391
132	0.793354914
133	0.7931451191
134	0.792799543
135	0.7926921555
136	0.7924814584
137	0.7922611427
138	0.7920172683
139	0.7918168359
140	0.7915616201
141	0.7913835587
142	0.7911935938
143	0.7910641901
144	0.7908642874
145	0.7905779982
146	0.7904657438
147	0.7902854756
148	0.7901479143
149	0.789935384
150	0.7896380311
151	0.7894690605
152	0.7892782381
153	0.789180365
154	0.7889977024
155	0.7887027355
156	0.7884957012
157	0.7882821835
158	0.7881790002
159	0.7878758836
160	0.7876534169
161	0.787431215
162	0.7872584979
163	0.7871446448
164	0.7870268653
165	0.7868563726
166	0.7867040163
167	0.7865043933
168	0.7863674916
169	0.7861360388
170	0.7859959978
171	0.7858033873
172	0.7855930815
173	0.7852456257
174	0.784910194
175	0.7846219559
176	0.7844969597
177	0.7843602388
178	0.7842358496
179	0.7840494692
180	0.7838374583
181	0.7835389614
182	0.7833259216
183	0.7830723145
184	0.7829069893
185	0.7827666694
186	0.7824903543
187	0.7822726079
188	0.7821080134
189	0.7818480732
190	0.7815628786
191	0.7813578596
192	0.781234012
193	0.7809145323
194	0.7807076908
195	0.7803892788
196	0.7802697968
197	0.7799665795
198	0.7797542056
199	0.7795457487
200	0.7793810768
201	0.7791546058
202	0.7788920719
203	0.7786191762
204	0.7784938788
205	0.778165985
206	0.7780173836
207	0.7777367845
208	0.7774175861
209	0.7771934496
210	0.776920374
211	0.7766570193
212	0.7765337348
213	0.7763101851
214	0.7761585565
215	0.7759354709
216	0.7756820713
217	0.7755501333
218	0.7753233617
219	0.7750805699
220	0.7748804999
221	0.7747374584
222	0.7744446413
223	0.7742967323
224	0.773964407
225	0.7738028849
226	0.7734554503
227	0.7732836296
228	0.773024202
229	0.7728710814
230	0.7726564689
231	0.7724000229
232	0.7721418758
233	0.7719784173
234	0.7717106252
235	0.7714877093
236	0.7713286344
237	0.7711367185
238	0.7707810544
239	0.770516043
240	0.7702752295
241	0.7700576212
242	0.7699206807
243	0.769664645
244	0.7694452886
245	0.7692067017
246	0.7689849332
247	0.7686670765
248	0.7685095899
249	0.7682618932
250	0.7680536969
251	0.7678253783
252	0.7676634662
253	0.7674080743
254	0.7671361768
255	0.7669432879
256	0.7667598351
257	0.7663666475
258	0.7661306228
259	0.7658963211
260	0.7656754972
261	0.7654114983
262	0.7651111403
263	0.764988417
264	0.7648695916
265	0.7647415342
266	0.7645431869
267	0.7642433156
268	0.7640594298
269	0.7637530535
270	0.7636318123
271	0.7633710332
272	0.763280497
273	0.7630344922
274	0.7628824762
275	0.7627848676
276	0.7625809068
277	0.7623822141
278	0.7620523964
279	0.7618574343
280	0.7617373089
281	0.7615262127
282	0.7612501036
283	0.7609956148
284	0.7607969699
285	0.7607008039
286	0.7605122616
287	0.7601732642
288	0.7600039765
289	0.7598306868
290	0.7596330334
291	0.7595064688
292	0.759410636
293	0.7592168177
294	0.7589814273
295	0.7587684458
296	0.7585389305
297	0.7583168444
298	0.7581994989
299	0.758049094
300	0.757899899
301	0.7575938686
302	0.7572849075
303	0.7570290237
304	0.7568751548
305	0.7566565611
306	0.7565016635
307	0.7563777069
308	0.7562434104
309	0.7559909596
310	0.755618227
311	0.755273176
312	0.7551508145
313	0.754956684
314	0.7548304391
315	0.75468647
316	0.7544997223
317	0.7541510027
318	0.7538922562
319	0.7536133334
320	0.7534892097
321	0.7532033701
322	0.7529314635
323	0.7525244674
324	0.7523163014
325	0.7520183368
326	0.7518366618
327	0.7516261892
328	0.7513837717
329	0.7512664233
330	0.7509577018
331	0.7507643201
332	0.7504469968
333	0.7502789591
334	0.7500771706
335	0.7498648169
336	0.7496743463
337	0.7495268152
338	0.7493166119
339	0.7491737037
340	0.7489255356
341	0.7487023435
342	0.7484339864
343	0.7481830022
344	0.7480698173
345	0.747920628
346	0.7477751461
347	0.7476437174
348	0.7474554652
349	0.7472187852
350	0.747030436
351	0.7467860108
352	0.7465242755
353	0.7462412846
354	0.7460192091
355	0.7458695281
356	0.745636537
357	0.7454981129
358	0.7451569046
359	0.7448449398
360	0.744714134
361	0.7444509681
362	0.7442368694
363	0.744136084
364	0.7438739598
365	0.7436706028
366	0.7432983014
367	0.7431743631
368	0.742939584
369	0.7427078147
370	0.7425093859
371	0.7422228414
372	0.7419762157
373	0.7418718625
374	0.7416647865
375	0.7415928506
376	0.7414312852
377	0.7412729158
378	0.7411349639
379	0.7409422834
380	0.7406467931
381	0.7404402325
382	0.7402665879
383	0.7400210844
384	0.7398451161
385	0.7396342647
386	0.7395536785
387	0.7394639356
388	0.7391989536
389	0.7389693115
390	0.7388588195
391	0.7387066765
392	0.7385063911
393	0.7383135325
394	0.7382331352
395	0.7380023715
396	0.7378031496
397	0.7376052906
398	0.7374440649
399	0.7372055354
400	0.7370724005
401	0.7369626712
402	0.7367643047
403	0.7363894403
404	0.7361675755
405	0.7360394276
406	0.7359132705
407	0.7357247852
408	0.7354324268
409	0.7352736443
410	0.7350733849
411	0.73495395
412	0.7347558957
413	0.7346220002
414	0.7344429958
415	0.7343118128
416	0.7341754827
417	0.7339173642
418	0.7336990163
419	0.7336132552
420	0.7334632891
421	0.7333123715
422	0.7329961885
423	0.7327963837
424	0.7326265905
425	0.732438556
426	0.732239003
427	0.7319509307
428	0.7317831902
429	0.7314895201
430	0.7312796945
431	0.7310131047
432	0.730785938
433	0.7305270134
434	0.7303807425
435	0.7302207595
436	0.7300660718
437	0.7298479282
438	0.7296366569
439	0.7295334157
440	0.729303411
441	0.7291186247
442	0.7289887968
443	0.7287268667
444	0.7285274792
445	0.7283704046
446	0.7281985114
447	0.7280453086
448	0.7279182941
449	0.7278143512
450	0.7276743593
451	0.7275144982
452	0.7273895248
453	0.7271542784
454	0.7269591209
455	0.7268492324
456	0.7266496216
457	0.7264303767
458	0.7263335812
459	0.7262035769
460	0.7259711673
461	0.725816813
462	0.725732233
463	0.7256515922
464	0.7255670262
465	0.7253331541
466	0.7252161938
467	0.7251088876
468	0.7248661745
469	0.7247813024
470	0.724694036
471	0.7245705739
472	0.7243750312
473	0.7241449507
474	0.7239122697
475	0.7237472105
476	0.7236521591
477	0.7234840094
478	0.7232176576
479	0.7231245256
480	0.7230321833
481	0.7228291767
482	0.7226797718
483	0.7226038373
484	0.7223791929
485	0.722153977
486	0.7219461522
487	0.7218614319
488	0.7216913712
489	0.7215373677
490	0.721399619
491	0.721220099
492	0.7210374139
493	0.7208421343
494	0.7207018839
495	0.7204716308
496	0.7203346636
497	0.7202148341
498	0.7200784258
499	0.7199356073
500	0.7196957021
501	0.7194685733
502	0.7193810919
503	0.7191394942
504	0.7190118299
505	0.7187572393
506	0.7186557739
507	0.7185614541
508	0.718379476
509	0.7181609651
510	0.7180001854
511	0.7179052884
512	0.7178232406
513	0.7177008087
514	0.7175982285
515	0.7174766141
516	0.7173963463
517	0.7173447695
518	0.7172289338
519	0.7171693291
520	0.7170105304
521	0.7168355217
522	0.716724072
523	0.7165635659
524	0.7163759242
525	0.7162639678
526	0.7161649758
527	0.7160682958
528	0.7159610468
529	0.7158243449
530	0.7155716361
531	0.7154853746
532	0.7153340269
533	0.7151731309
534	0.7150033699
535	0.7148804132
536	0.714804879
537	0.7146018038
538	0.7144583226
539	0.7143400225
540	0.7141167169
541	0.7140520207
542	0.713945389
543	0.713832643
544	0.7137252668
545	0.7136542759
546	0.7135060396
547	0.7133065415
548	0.7131984445
549	0.7129659191
550	0.7127606839
551	0.7126751101
552	0.7125786467
553	0.7124044607
554	0.7122897426
555	0.7119924521
556	0.7117798101
557	0.7116721725
558	0.7115568055
559	0.7114734954
560	0.7112491979
561	0.7110928888
562	0.7109668481
563	0.7108123907
564	0.7106853381
565	0.7104969211
566	0.7102806643
567	0.7100203483
568	0.7099130395
569	0.7096468617
570	0.7095570241
571	0.709447108
572	0.709321833
573	0.7090178895
574	0.7088294491
575	0.7087229651
576	0.7085477428
577	0.7083709017
578	0.7082396556
579	0.7081648204
580	0.7080521496
581	0.7079283418
582	0.707819935
583	0.7076829541
584	0.7075866449
585	0.7074866813
586	0.7072661881
587	0.7070712035
588	0.7069713678
589	0.7068128556
590	0.7066070323
591	0.706362836
592	0.7062502249
593	0.7060277947
594	0.7057755035
595	0.7055453217
596	0.705312216
597	0.7052397031
598	0.7050786073
599	0.7049797245
600	0.7048752885
601	0.7048144993
602	0.7046558913
603	0.7044419034
604	0.7042862294
605	0.7041460774
606	0.704043903
607	0.7038675659
608	0.7036784822
609	0.7035766005
610	0.7033695151
611	0.7032720717
612	0.7031552176
613	0.7029837854
614	0.7028421124
615	0.7027359299
616	0.7026134935
617	0.7024739778
618	0.7023293466
619	0.7022147813
620	0.7021146757
621	0.7019585379
622	0.7018663322
623	0.7016542399
624	0.7014668425
625	0.7012993677
626	0.701203038
627	0.7010431092
628	0.7009325227
629	0.7008554061
630	0.7007902355
631	0.7006279379
632	0.7005274483
633	0.7003948653
634	0.7003088287
635	0.7002246566
636	0.7001133734
637	0.6999849969
638	0.6998655178
639	0.6998101161
640	0.699734216
641	0.699530751
642	0.6993764848
643	0.699233174
644	0.6990940126
645	0.6990436063
646	0.6988752924
647	0.6987022495
648	0.69858937
649	0.6983727215
650	0.6983119106
651	0.698159827
652	0.6980546786
653	0.6979132077
654	0.6978065591
655	0.6976425594
656	0.6975495322
657	0.6974420195
658	0.6973267671
659	0.6970645398
660	0.69696806
661	0.6968985748
662	0.6967538948
663	0.6965758017
664	0.6963896662
665	0.6961482221
666	0.6959111543
667	0.6958127351
668	0.6956363833
669	0.6954788513
670	0.6953275549
671	0.6951725593
672	0.6950368009
673	0.6949252262
674	0.694799071
675	0.6946556607
676	0.6945009597
677	0.6943787036
678	0.6942212003
679	0.6941275507
680	0.6939868383
681	0.6938893579
682	0.6937557789
683	0.6935359265
684	0.6934539888
685	0.6933618711
686	0.6932666048
687	0.6932046978
688	0.693130238
689	0.6930576383
690	0.692922481
691	0.6927910038
692	0.6926856162
693	0.6926268299
694	0.6924778177
695	0.6924011041
696	0.6922060773
697	0.6920898763
698	0.6919658726
699	0.6918109903
