iter	Passed	Remaining
447	6140	3454
448	6153	3439
449	6166	3425
450	6179	3411
451	6193	3398
452	6205	3383
453	6218	3369
454	6231	3355
455	6244	3341
456	6258	3327
457	6271	3313
458	6284	3299
459	6297	3285
460	6309	3271
461	6323	3257
462	6335	3242
463	6347	3228
464	6361	3214
465	6374	3200
466	6387	3186
467	6401	3173
468	6414	3159
469	6427	3145
470	6439	3130
471	6452	3116
472	6465	3102
473	6478	3089
474	6491	3075
475	6504	3061
476	6518	3047
477	6531	3033
478	6544	3019
479	6557	3005
480	6570	2991
481	6584	2978
482	6598	2964
483	6613	2951
484	6627	2938
485	6641	2924
486	6654	2910
487	6668	2896
488	6681	2882
489	6694	2869
490	6709	2855
491	6722	2842
492	6737	2828
493	6751	2815
494	6765	2801
495	6778	2788
496	6792	2774
497	6805	2760
498	6818	2746
499	6832	2732
500	6847	2719
501	6860	2706
502	6875	2692
503	6888	2678
504	6902	2665
505	6915	2651
506	6929	2637
507	6943	2624
508	6956	2610
509	6969	2596
510	6982	2582
511	6995	2568
512	7008	2554
513	7021	2540
514	7034	2527
515	7048	2513
516	7063	2500
517	7076	2486
518	7091	2473
519	7104	2459
520	7117	2445
521	7129	2431
522	7143	2417
523	7156	2403
524	7169	2389
525	7183	2376
526	7197	2362
527	7209	2348
528	7222	2334
529	7235	2320
530	7249	2307
531	7262	2293
532	7275	2279
533	7288	2265
534	7301	2251
535	7315	2238
536	7328	2224
537	7341	2210
538	7354	2196
539	7368	2183
540	7381	2169
541	7393	2155
542	7406	2141
543	7419	2127
544	7432	2113
545	7445	2100
546	7459	2086
547	7472	2072
548	7484	2058
549	7497	2044
550	7510	2030
551	7523	2017
552	7536	2003
553	7549	1989
554	7563	1976
555	7576	1962
556	7590	1948
557	7603	1934
558	7616	1921
559	7629	1907
560	7643	1893
561	7656	1880
562	7669	1866
563	7683	1852
564	7695	1838
565	7708	1825
566	7721	1811
567	7735	1797
568	7748	1784
569	7761	1770
570	7775	1756
571	7789	1743
572	7802	1729
573	7815	1715
574	7829	1702
575	7841	1688
576	7855	1674
577	7868	1660
578	7881	1647
579	7894	1633
580	7907	1619
581	7920	1605
582	7933	1592
583	7946	1578
584	7958	1564
585	7970	1550
586	7983	1536
587	7996	1523
588	8010	1509
589	8022	1495
590	8036	1482
591	8049	1468
592	8063	1454
593	8075	1441
594	8088	1427
595	8101	1413
596	8115	1400
597	8128	1386
598	8142	1372
599	8156	1359
600	8168	1345
601	8181	1331
602	8196	1318
603	8209	1304
604	8222	1291
605	8236	1277
606	8255	1264
607	8269	1251
608	8283	1237
609	8297	1224
610	8310	1210
611	8324	1196
612	8336	1183
613	8349	1169
614	8364	1156
615	8377	1142
616	8390	1128
617	8404	1115
618	8417	1101
619	8431	1087
620	8444	1074
621	8458	1060
622	8471	1047
623	8485	1033
624	8498	1019
625	8512	1006
626	8525	992
627	8541	979
628	8554	965
629	8566	951
630	8580	938
631	8593	924
632	8606	910
633	8619	897
634	8633	883
635	8647	870
636	8660	856
637	8674	842
638	8688	829
639	8700	815
640	8713	802
641	8726	788
642	8739	774
643	8752	761
644	8765	747
645	8778	733
646	8791	720
647	8805	706
648	8818	692
649	8832	679
650	8845	665
651	8859	652
652	8872	638
653	8886	625
654	8900	611
655	8915	597
656	8928	584
657	8941	570
658	8956	557
659	8970	543
660	8983	530
661	8997	516
662	9010	502
663	9023	489
664	9036	475
665	9049	462
666	9062	448
667	9074	434
668	9087	421
669	9100	407
670	9113	393
671	9126	380
672	9139	366
673	9152	353
674	9165	339
675	9179	325
676	9193	312
677	9206	298
678	9219	285
679	9232	271
680	9246	257
681	9259	244
682	9271	230
683	9285	217
684	9299	203
685	9313	190
686	9326	176
687	9338	162
688	9352	149
689	9365	135
690	9379	122
691	9392	108
692	9405	95
693	9419	81
694	9432	67
695	9444	54
696	9458	40
697	9470	27
698	9484	13
699	9496	0
