type,entry,exit,profit_pct,qty,confidence
TP1,0.10415,0.10727450000000001,3.0000000000000018,0.3,0.41758259074598336
SELL,0.10415,0.10738,3.1012962073931796,0.7,0.7119511167686646
TP1,0.10738,0.1106014,2.999999999999999,0.3,0.8380486270568462
TP2,0.10738,0.112749,4.999999999999999,0.21,0.7265930200308218
TP3,0.10738,0.11489660000000002,7.0000000000000115,0.196,0.766536962284315
TP1,0.11775,0.1212825,3.0000000000000067,0.3,0.6278646354525996
TP2,0.11775,0.1236375,5.0000000000000036,0.21,0.6278646354525996
TP3,0.11775,0.1259925,7.0000000000000115,0.196,0.5531345214391183
SL,0.12336,0.11802,-4.328793774319064,1.0,0.7635189712274033
TP1,0.11804,0.12158120000000001,3.0000000000000067,0.3,0.7218540454548492
TP2,0.11804,0.12394200000000001,5.0000000000000036,0.21,0.5968660487695752
TP3,0.11804,0.12630280000000002,7.0000000000000115,0.196,0.6862984965982165
TP1,0.12595,0.1297285,2.999999999999992,0.3,0.6581161834877718
TP2,0.12595,0.13224750000000002,5.000000000000009,0.21,0.6581161834877718
TP3,0.12595,0.1347665,7.0000000000000036,0.196,0.6581161834877718
SL,0.13366,0.13095,-2.0275325452640955,1.0,0.6036338588086377
SL,0.0914,0.08881,-2.833698030634568,1.0,0.9330794993938704
TP1,0.08459,0.0871277,3.000000000000005,0.3,0.9382363993907533
TP2,0.08459,0.0888195,4.9999999999999964,0.21,0.9382363993907533
TP3,0.08459,0.0905113,7.000000000000004,0.196,0.9382363993907533
TP1,0.09387,0.0966861,3.000000000000002,0.3,0.8762218231110913
TP2,0.09387,0.0985635,5.0000000000000036,0.21,0.73796520846644
TP3,0.09387,0.1004409,7.000000000000004,0.196,0.8451593922527159
TP1,0.10059,0.1036077,2.9999999999999982,0.3,0.552230522252769
TP2,0.10059,0.1056195,5.000000000000006,0.21,0.552230522252769
TP3,0.10059,0.1076313,7.000000000000001,0.196,0.7430008372577255
SELL,0.10059,0.10791,7.27706531464361,0.294,0.7430008372577255
TP1,0.09912,0.1020936,3.0000000000000067,0.3,0.6761419435558772
SELL,0.09912,0.10291,3.823648103309122,0.7,0.7672201584210581
SL,0.10211,0.10004,-2.027225541083148,1.0,0.8863089631811261
TP1,0.10044,0.10345320000000001,3.0000000000000075,0.3,0.6204041082736568
TP2,0.10044,0.105462,4.999999999999999,0.21,0.6020039838881631
TP3,0.10044,0.1074708,7.0000000000000036,0.196,0.5651476233639091
TP1,0.09807,0.10101210000000001,3.000000000000003,0.3,0.43559980338700377
SELL,0.09807,0.10131,3.303762618537772,0.7,0.7592339018093514
TP1,0.09508,0.0979324,3.000000000000005,0.3,0.6047712168203309
SELL,0.09508,0.09853,3.6285233487589488,0.7,0.799884711411088
SL,0.09371,0.0909,-2.9986127414363533,1.0,0.8455987092515886
TP1,0.09255,0.0953265,3.0000000000000018,0.3,0.7473664824310721
TP2,0.09255,0.0971775,5.000000000000007,0.21,0.6601659501725382
TP3,0.09255,0.0990285,7.000000000000013,0.196,0.6967299285437015
TP1,0.10056,0.1035768,3.0000000000000004,0.3,0.766433387715206
TP2,0.10056,0.105588,5.000000000000005,0.21,0.5211269296401345
TP3,0.10056,0.1075992,7.000000000000009,0.196,0.5211269296401345
TP1,0.09922,0.1021966,2.9999999999999956,0.3,0.8656459348444419
TP2,0.09922,0.10418100000000001,5.000000000000007,0.21,0.8754977534957304
TP3,0.09922,0.10616540000000001,7.000000000000004,0.196,0.8229035100752234
TP1,0.10593,0.1091079,2.999999999999998,0.3,0.5903769692786662
SL,0.10593,0.10569,-0.22656471254601177,0.7,0.8544500513395396
TP1,0.10643,0.1096229,2.9999999999999987,0.3,0.7547421632486911
TP2,0.10643,0.1117515,5.000000000000006,0.21,0.7713156054743883
TP3,0.10643,0.1138801,7.000000000000001,0.196,0.7679120270448329
TP1,0.11759,0.12111770000000001,3.000000000000007,0.3,0.6937278534834409
TP2,0.11759,0.12346950000000001,5.000000000000009,0.21,0.5387082323660586
TP3,0.11759,0.1258213,6.999999999999998,0.196,0.5387082323660586
TP1,0.12423,0.12795689999999998,2.9999999999999933,0.3,0.6814088424242845
TP2,0.12423,0.1304415,4.9999999999999964,0.21,0.6814088424242845
SELL,0.12423,0.12807,3.0910408113982104,0.49,0.7460190464769834
TP1,0.10462,0.10775860000000001,3.000000000000005,0.3,0.7997897964246765
TP2,0.10462,0.109851,5.0,0.21,0.8364138606966267
TP3,0.10462,0.11194340000000001,7.000000000000008,0.196,0.6174608699292381
SL,0.10795,0.10542,-2.343677628531732,1.0,0.8454043405927674
TP1,0.10454,0.1076762,3.0000000000000053,0.3,0.6476354109110545
TP2,0.10454,0.109767,5.000000000000009,0.21,0.5367537079966378
TP3,0.10454,0.1118578,6.999999999999999,0.196,0.8280903546031676
TP1,0.11247,0.1158441,3.0000000000000044,0.3,0.8252982629664577
TP2,0.11247,0.1180935,5.000000000000003,0.21,0.735839011099556
TP3,0.11247,0.1203429,7.000000000000002,0.196,0.8058568591988641
SL,0.12618,0.12206,-3.265176731653182,1.0,0.8204275931670919
TP1,0.12164,0.1252892,2.999999999999993,0.3,0.7799638195683265
TP2,0.12164,0.127722,5.0000000000000036,0.21,0.7799638195683265
TP3,0.12164,0.13015480000000001,7.000000000000014,0.196,0.7733548330214747
TP1,0.1347,0.138741,3.000000000000013,0.3,0.8849583271382355
TP2,0.1347,0.141435,5.000000000000014,0.21,0.8849583271382355
TP3,0.1347,0.144129,7.000000000000016,0.196,0.8849583271382355
SL,0.144,0.14006,-2.7361111111111107,1.0,0.8121814221708933
