type,entry,exit,profit_pct,qty,confidence
SL,139.09,131.64,-5.356244158458564,1.0,0.7797360480821178
TP1,130.7,134.62099999999998,2.9999999999999942,0.3,0.618561692752243
TP2,130.7,137.23499999999999,4.999999999999997,0.21,0.618561692752243
TP3,130.7,139.849,7.000000000000001,0.196,0.618561692752243
TP1,137.44,141.5632,2.999999999999998,0.3,0.43039039990509714
SELL,137.44,140.52,2.240977881257285,0.7,0.7125592137548817
SL,138.44,135.41,-2.1886737937012435,1.0,0.8551332968939189
TP1,135.65,139.7195,3.0000000000000036,0.3,0.843138609151345
TP2,135.65,142.4325,4.999999999999999,0.21,0.8340043848117928
TP3,135.65,145.14550000000003,7.000000000000016,0.196,0.8972219873729556
TP1,145.23,149.58689999999999,2.9999999999999973,0.3,0.8249769378856193
TP2,145.23,152.4915,5.000000000000009,0.21,0.8869292532134444
TP3,145.23,155.3961,7.000000000000001,0.196,0.49685635913259174
SL,160.93,156.83,-2.54769154290685,1.0,0.7951265373684959
TP1,155.5,160.165,2.999999999999995,0.3,0.7908481673182511
TP2,155.5,163.275,5.0000000000000036,0.21,0.7658601179208688
TP3,155.5,166.38500000000002,7.0000000000000115,0.196,0.7658601179208688
TP1,170.46,175.5738,2.9999999999999987,0.3,0.5718744014023185
TP2,170.46,178.983,4.999999999999997,0.21,0.7006528982713918
TP3,170.46,182.39220000000003,7.000000000000013,0.196,0.7006528982713918
SELL,170.46,184.49,8.230669951894873,0.294,0.7006528982713918
SL,177.77,170.53,-4.0726781796703655,1.0,0.73305958800577
TP1,168.81,173.8743,3.0000000000000018,0.3,0.7259365011282805
TP2,168.81,177.25050000000002,5.000000000000009,0.21,0.7100743530442504
TP3,168.81,180.6267,6.999999999999998,0.196,0.691109341536681
SELL,182.22,184.31,1.146965206892769,1.0,0.7767858588752755
TP1,135.19,139.2457,3.0000000000000013,0.3,0.5073744178920474
TP2,135.19,141.9495,5.000000000000003,0.21,0.5073744178920474
SL,135.19,126.14,-6.694282121458686,0.49,0.881112447658708
SL,122.91,115.96,-5.654543975266458,1.0,0.8799973902144658
TP1,130.45,134.3635,2.9999999999999996,0.3,0.8120682981447669
TP2,130.45,136.9725,5.000000000000006,0.21,0.8120682981447669
TP3,130.45,139.5815,7.000000000000013,0.196,0.8555361941674307
TP1,139.46,143.6438,2.9999999999999933,0.3,0.9192580940352327
TP2,139.46,146.43300000000002,5.000000000000009,0.21,0.8601778344080908
TP3,139.46,149.22220000000002,7.000000000000004,0.196,0.8601778344080908
SL,152.46,148.46,-2.623638987275351,1.0,0.8834917898606618
TP1,143.16,147.4548,3.0000000000000067,0.3,0.6627047899781096
TP2,143.16,150.318,5.000000000000011,0.21,0.6627047899781096
TP3,143.16,153.18120000000002,7.000000000000016,0.196,0.6029440032302568
TP1,137.91,142.0473,3.0000000000000075,0.3,0.48398590403248326
TP2,137.91,144.8055,4.999999999999999,0.21,0.6248044901994367
TP3,137.91,147.5637,7.000000000000011,0.196,0.7220350082299306
TP1,153.27,157.86810000000003,3.0000000000000107,0.3,0.5894511706812734
SELL,153.27,157.27,2.609773602140014,0.7,0.7327513593867396
TP1,125.14,128.8942,3.0000000000000093,0.3,0.6381173003902593
TP2,125.14,131.39700000000002,5.000000000000016,0.21,0.5780076248457268
TP3,125.14,133.8998,6.999999999999999,0.196,0.5780076248457268
TP1,132.44,136.4132,2.999999999999994,0.3,0.54879840388652
TP2,132.44,139.062,5.000000000000011,0.21,0.715480711014296
SELL,132.44,139.43,5.277861673210517,0.49,0.715480711014296
SL,131.47,127.67,-2.8903932456073607,1.0,0.8008196405225579
TP1,129.48,133.3644,3.0,0.3,0.6559416096255671
TP2,129.48,135.954,5.000000000000014,0.21,0.767964813493825
TP3,129.48,138.5436,7.000000000000006,0.196,0.7969499860097572
TP1,139.47,143.6541,3.0000000000000004,0.3,0.7163037647841133
TP2,139.47,146.4435,5.000000000000001,0.21,0.5081234504831553
TP3,139.47,149.2329,7.000000000000002,0.196,0.5081234504831553
TP1,144.66,148.9998,2.999999999999998,0.3,0.7802564366128162
TP2,144.66,151.893,5.000000000000003,0.21,0.7802564366128162
TP3,144.66,154.7862,7.000000000000008,0.196,0.5689080266248829
SL,139.98,136.85,-2.2360337191027257,1.0,0.7355755576004156
TP1,135.58,139.6474,2.999999999999994,0.3,0.6940901425241969
TP2,135.58,142.359,4.9999999999999964,0.21,0.8042242027244746
TP3,135.58,145.0706,6.999999999999999,0.196,0.6694569892339522
TP1,139.33,143.50990000000002,3.000000000000002,0.3,0.7988268877761792
TP2,139.33,146.2965,4.9999999999999964,0.21,0.6692919734536955
TP3,139.33,149.08310000000003,7.0000000000000115,0.196,0.6523583448740252
SELL,153.04,155.13,1.3656560376372213,1.0,0.8015135749705419
TP1,154.84,159.48520000000002,3.000000000000011,0.3,0.6706249061517049
TP2,154.84,162.58200000000002,5.000000000000012,0.21,0.4531321823944392
TP3,154.84,165.67880000000002,7.000000000000013,0.196,0.4531321823944392
TP1,167.88,172.9164,3.000000000000009,0.3,0.5045815915292224
TP2,167.88,176.274,5.000000000000003,0.21,0.6250360001722344
SL,167.88,164.9,-1.7750774362639923,0.49,0.7963902436217938
TP1,168.66,173.7198,2.9999999999999973,0.3,0.6558756748579906
TP2,168.66,177.09300000000002,5.000000000000012,0.21,0.5968225256622621
TP3,168.66,180.46620000000001,7.000000000000011,0.196,0.7306164213540114
SELL,168.66,181.81,7.796750859717778,0.294,0.7306164213540114
