type,entry,exit,profit_pct,qty,confidence
SL,57963.5,55857.8,-3.6328034021409974,1.0,0.8957946565937545
TP1,55160.0,56814.8,3.0000000000000053,0.3,0.8344549962483349
TP2,55160.0,57918.0,5.0,0.21,0.6055569829957318
TP3,55160.0,59021.200000000004,7.000000000000008,0.196,0.7891394055723139
TP1,59466.2,61250.186,3.0000000000000075,0.3,0.8594644367128851
TP2,59466.2,62439.51,5.000000000000009,0.21,0.8594644367128851
TP3,59466.2,63628.834,7.000000000000009,0.196,0.46218882532511407
TP1,62895.0,64781.85,2.999999999999998,0.3,0.6431464856949469
TP2,62895.0,66039.75,5.0,0.21,0.8018620264358315
SELL,62895.0,66880.0,6.3359567533190235,0.49,0.7504837845181205
SL,65652.0,64093.6,-2.373728142326207,1.0,0.5153240825008709
SELL,67908.0,67940.9,0.04844790010012691,1.0,0.7605150212236125
SL,53890.9,52674.2,-2.257709557643321,1.0,0.8047797726803272
TP1,51340.0,52880.200000000004,3.0000000000000084,0.3,0.8292029175574969
TP2,51340.0,53907.0,5.0,0.21,0.8292029175574969
TP3,51340.0,54933.8,7.000000000000006,0.196,0.8368999797388363
SL,55998.0,54759.2,-2.212221865066615,1.0,0.8994122431099207
TP1,55133.8,56787.814000000006,3.000000000000005,0.3,0.792945733513702
TP2,55133.8,57890.490000000005,5.0000000000000036,0.21,0.6193991140567167
TP3,55133.8,58993.166000000005,7.0000000000000036,0.196,0.6193991140567167
SL,58891.1,57047.5,-3.1305239671189677,1.0,0.8710433959477626
TP1,57541.1,59267.333,3.0000000000000004,0.3,0.4952844158337253
TP2,57541.1,60418.155,5.000000000000001,0.21,0.3688331798120263
TP3,57541.1,61568.977,7.000000000000001,0.196,0.7377180325813928
TP1,61156.0,62990.68,3.0000000000000004,0.3,0.7629015394118644
TP2,61156.0,64213.8,5.000000000000004,0.21,0.5523897504113435
SELL,61156.0,63976.0,4.611158349139904,0.49,0.721076450283279
TP1,53534.3,55140.329000000005,3.000000000000004,0.3,0.8551573074222578
TP2,53534.3,56211.01500000001,5.000000000000006,0.21,0.8298751954055371
TP3,53534.3,57281.70100000001,7.000000000000009,0.196,0.8621546906354225
TP1,57636.0,59365.08,3.000000000000003,0.3,0.788548489088361
TP2,57636.0,60517.8,5.000000000000005,0.21,0.7936183684363365
TP3,57636.0,61670.520000000004,7.000000000000008,0.196,0.7970771835272997
TP1,62118.0,63981.54,3.0000000000000013,0.3,0.5175324598029062
TP2,62118.0,65223.9,5.000000000000003,0.21,0.7873210573944074
SELL,62118.0,65858.0,6.0207991242474,0.49,0.7273051025145835
TP1,60649.3,62468.779,2.9999999999999987,0.3,0.4837673519021771
SELL,60649.3,62320.0,2.754689666657318,0.7,0.7026545631431744
TP1,60636.0,62455.08,3.000000000000003,0.3,0.619179789254293
TP2,60636.0,63667.8,5.000000000000005,0.21,0.6684259039842969
TP3,60636.0,64880.520000000004,7.000000000000006,0.196,0.74340757761092
TP1,65870.0,67846.1,3.000000000000009,0.3,0.5155802552639747
SELL,65870.0,68378.0,3.8074996204645517,0.7,0.7456598460601267
TP1,67082.1,69094.56300000001,3.000000000000005,0.3,0.8197518707977408
TP2,67082.1,70436.20500000002,5.000000000000015,0.21,0.834489770694454
TP3,67082.1,71777.84700000001,7.0000000000000036,0.196,0.5219998464732937
TP1,68358.9,70409.667,3.0000000000000107,0.3,0.8414210269887282
TP2,68358.9,71776.845,5.000000000000011,0.21,0.8414210269887282
TP3,68358.9,73144.023,7.000000000000011,0.196,0.8414210269887282
TP1,73370.9,75572.027,3.0000000000000107,0.3,0.8369478746686636
TP2,73370.9,77039.44499999999,4.999999999999998,0.21,0.732353155003723
TP3,73370.9,78506.863,7.000000000000004,0.196,0.8028070726017665
TP1,79844.0,82239.32,3.000000000000009,0.3,0.8896351395956772
TP2,79844.0,83836.2,4.9999999999999964,0.21,0.8896351395956772
TP3,79844.0,85433.08,7.000000000000002,0.196,0.8402594377086535
SL,88648.0,86632.0,-2.274162981680354,1.0,0.86941776274473
TP1,88704.3,91365.429,3.000000000000001,0.3,0.6405457215392383
SL,88704.3,87948.0,-0.8526080471859909,0.7,0.9005032537031793
SL,89464.0,87325.6,-2.390235178395773,1.0,0.833920959841196
TP1,88218.2,90864.746,3.000000000000002,0.3,0.6255148755706931
TP2,88218.2,92629.11,5.000000000000004,0.21,0.832228725327121
TP3,88218.2,94393.474,7.000000000000006,0.196,0.8764951009782379
TP1,94000.0,96820.0,3.0,0.3,0.742833422178717
SELL,94000.0,98317.1,4.592659574468091,0.7,0.7273441664400925
TP1,93010.0,95800.3,3.000000000000003,0.3,0.8280842276004604
TP2,93010.0,97660.5,5.0,0.21,0.5613698500490784
SELL,93010.0,96336.8,3.576819696806798,0.49,0.855465143684144
TP1,95816.0,98690.48,2.9999999999999956,0.3,0.5073572340538192
TP2,95816.0,100606.8,5.000000000000003,0.21,0.5073572340538192
TP3,95816.0,102523.12000000001,7.000000000000011,0.196,0.5073572340538192
SL,99028.0,96945.6,-2.102839600920946,1.0,0.8166826169136847
SELL,99740.8,100077.0,0.3370736950174824,1.0,0.7490350709705907
TP1,97070.3,99982.409,2.9999999999999964,0.3,0.5782737189114403
TP2,97070.3,101923.815,5.0,0.21,0.7743524053015364
TP3,97070.3,103865.221,7.000000000000002,0.196,0.557817672517903
TP1,92724.0,95505.72,3.0000000000000013,0.3,0.7062168712517014
SELL,92724.0,96991.6,4.602476165825467,0.7,0.7062168712517014
SL,95377.7,93250.4,-2.230395574646907,1.0,0.8405611770872893
TP1,94881.5,97727.945,3.0000000000000075,0.3,0.7221034126573697
SELL,94881.5,98300.0,3.6029152152948676,0.7,0.7221034126573697
TP1,92130.2,94894.106,3.000000000000003,0.3,0.8534898573193439
TP2,92130.2,96736.71,5.00000000000001,0.21,0.7833889225504943
TP3,92130.2,98579.314,7.000000000000002,0.196,0.5507968675823977
SELL,98166.3,98363.6,0.20098547057391683,1.0,0.707253417543158
SL,93590.2,90851.2,-2.926588467595966,1.0,0.6135662355419645
TP1,99844.9,102840.247,3.000000000000009,0.3,0.6267375494515428
TP2,99844.9,104837.145,5.00000000000001,0.21,0.6022789301732229
SELL,99844.9,104556.0,4.718418266731707,0.49,0.7363529507759047
TP1,101332.0,104371.96,3.0000000000000067,0.3,0.8113384872274901
TP2,101332.0,106398.6,5.000000000000006,0.21,0.8113384872274901
SELL,101332.0,107121.0,5.712904117159436,0.49,0.8113384872274901
TP1,102260.0,105327.8,3.000000000000003,0.3,0.7720324959348696
SELL,102260.0,107031.0,4.665558380598474,0.7,0.7720324959348696
SELL,102461.0,105264.0,2.7356750373312773,1.0,0.7193770134845607
TP1,99048.0,102019.44,3.000000000000002,0.3,0.780738234892479
TP2,99048.0,104000.40000000001,5.000000000000009,0.21,0.7582919216193527
SELL,99048.0,105196.0,6.207091511186495,0.49,0.7582919216193527
SL,99206.9,94038.7,-5.209516676763408,1.0,0.6607621759227236
SELL,96209.9,98269.0,2.140216339482741,1.0,0.8425180252827565
TP1,95040.8,97892.024,3.0000000000000018,0.3,0.8360794780614575
SELL,95040.8,97940.4,3.050900244947424,0.7,0.8360794780614575
SELL,95659.5,97055.2,1.4590291607210961,1.0,0.7014127355735872
TP1,83857.0,86372.71,3.0000000000000075,0.3,0.45058664088670886
SL,83857.0,80452.4,-4.060006916536492,0.7,0.8014733156204574
TP1,79204.6,81580.73800000001,3.000000000000008,0.3,0.6653805088667284
TP2,79204.6,83164.83000000002,5.000000000000012,0.21,0.6653805088667284
TP3,79204.6,84748.922,6.999999999999999,0.196,0.6012016733732359
TP1,83983.7,86503.211,2.9999999999999987,0.3,0.5317225582190352
TP2,83983.7,88182.885,4.999999999999997,0.21,0.5317225582190352
SELL,83983.7,89814.3,6.942537659093379,0.49,0.702288402531464
TP1,80043.8,82445.114,2.9999999999999982,0.3,0.4832595259997387
TP2,80043.8,84045.99,5.000000000000003,0.21,0.6051466769519113
SELL,80043.8,84554.0,5.634665020901053,0.49,0.7335834813455961
SELL,83147.6,84733.0,1.9067297191981418,1.0,0.7737212024032255
TP1,83840.6,86355.81800000001,3.0000000000000093,0.3,0.6873797028570819
TP2,83840.6,88032.63,4.999999999999998,0.21,0.4967898022280224
SELL,83840.6,87370.4,4.210132083978393,0.49,0.7166927122708366
TP1,82390.0,84861.7,2.9999999999999964,0.3,0.604758460663249
SELL,82390.0,85158.4,3.360116518995017,0.7,0.7134610592305437
SL,82516.3,79614.4,-3.516759718988865,1.0,0.476908896029561
TP1,75126.0,77379.78,2.9999999999999987,0.3,0.6526086739298615
TP2,75126.0,78882.3,5.0000000000000036,0.21,0.7599848509932625
SL,75126.0,75073.3,-0.07014881665468292,0.49,0.8308325764933191
TP1,76230.0,78516.90000000001,3.0000000000000115,0.3,0.6411807034547159
TP2,76230.0,80041.5,5.0,0.21,0.6411807034547159
TP3,76230.0,81566.1,7.000000000000008,0.196,0.6411807034547159
TP1,78757.2,81119.916,3.0000000000000004,0.3,0.5895805776335209
TP2,78757.2,82695.06,5.000000000000001,0.21,0.5085846292614135
TP3,78757.2,84270.204,7.000000000000001,0.196,0.48492636122856525
